dataset,regime,model,alpha,gamma,overall_tail_mean,overall_tail_std
adult,feasible,fedavot,,,0.204533,6.55e-05
adult,feasible,fedavot_cvar,0.90,0.90,0.204527,6.55e-05
adult,feasible,fedcvar,0.10,1.00,0.204754,4.4e-05
adult,feasible,fedavg,,,0.204754,4.4e-05
adult,feasible,full,,,0.203774,2.78e-17
adult,infeasible,fedavot,,,0.222521,0.000871
adult,infeasible,fedavot_cvar,0.10,1.00,0.222521,0.000871
adult,infeasible,fedcvar,0.10,1.00,0.238055,0.000957
adult,infeasible,fedavg,,,0.238055,0.000957
adult,infeasible,full,,,0.203774,2.78e-17
imdbwiki,feasible,fedavot,,,89.0844,0.528
imdbwiki,feasible,fedavot_cvar,0.10,1.00,89.0844,0.528
imdbwiki,feasible,fedcvar,0.10,1.00,89.5073,0.552
imdbwiki,feasible,fedavg,,,89.5073,0.552
imdbwiki,feasible,full,,,83.0686,0
imdbwiki,infeasible,fedavot,,,116.405,0.533
imdbwiki,infeasible,fedavot_cvar,0.10,1.00,116.405,0.533
imdbwiki,infeasible,fedcvar,0.10,1.00,108.467,0.675
imdbwiki,infeasible,fedavg,,,108.467,0.675
imdbwiki,infeasible,full,,,83.0686,0
