dataset,regime,model,alpha,gamma,overall_tail_mean,overall_tail_std
adult,feasible,fedavot,,,0.20748,5.13e-05
adult,feasible,fedavot_cvar,0.90,0.90,0.207471,5.02e-05
adult,feasible,fedcvar,0.10,1.00,0.207673,3.32e-05
adult,feasible,fedavg,,,0.207673,3.32e-05
adult,feasible,full,,,0.207304,0
adult,infeasible,fedavot,,,0.226896,0.000532
adult,infeasible,fedavot_cvar,0.10,1.00,0.226896,0.000532
adult,infeasible,fedcvar,0.10,1.00,0.247868,0.000904
adult,infeasible,fedavg,,,0.247868,0.000904
adult,infeasible,full,,,0.207304,0
imdbwiki,feasible,fedavot,,,84.2785,0.148
imdbwiki,feasible,fedavot_cvar,0.10,1.00,84.2785,0.148
imdbwiki,feasible,fedcvar,0.10,1.00,86.3716,0.336
imdbwiki,feasible,fedavg,,,86.3716,0.336
imdbwiki,feasible,full,,,82.9485,0
imdbwiki,infeasible,fedavot,,,86.0612,0.211
imdbwiki,infeasible,fedavot_cvar,0.10,1.00,86.0612,0.211
imdbwiki,infeasible,fedcvar,0.10,1.00,91.6295,0.565
imdbwiki,infeasible,fedavg,,,91.6295,0.565
imdbwiki,infeasible,full,,,82.9485,0
