cell,dataset,regime,beta,tag,nu,group,model,n_seeds,rare_mean,rare_std,overall_mean,overall_std
adult_beta0.00_const,adult,infeasible,0.0,const,0.6000000000000001,Other,fedavot,5,0.06447214,0.0019407619685061855,0.222521,0.0008713903832381862
adult_beta0.00_const,adult,infeasible,0.0,const,0.6000000000000001,Other,fedavg,5,0.0855161,0.002847267164844214,0.2380546,0.0009568512110040992
adult_beta0.00_const,adult,infeasible,0.0,const,0.6000000000000001,Other,full,5,0.0278196,0.0,0.203774,0.0
adult_beta0.00_const,adult,infeasible,0.0,const,0.6000000000000001,Amer-Indian-Eskimo,fedavot,5,0.1722914,0.003326813165778931,0.222521,0.0008713903832381862
adult_beta0.00_const,adult,infeasible,0.0,const,0.6000000000000001,Amer-Indian-Eskimo,fedavg,5,0.1853604,0.003384618359579112,0.2380546,0.0009568512110040992
adult_beta0.00_const,adult,infeasible,0.0,const,0.6000000000000001,Amer-Indian-Eskimo,full,5,0.118316,0.0,0.203774,0.0
adult_beta0.00_decay1000,adult,infeasible,0.0,decay1000,0.6000000000000001,Other,fedavot,5,0.07315914,0.002696665539958563,0.2268958,0.0005323462782813432
adult_beta0.00_decay1000,adult,infeasible,0.0,decay1000,0.6000000000000001,Other,fedavg,5,0.1193594,0.0045833081764158085,0.2478676,0.0009044699221090744
adult_beta0.00_decay1000,adult,infeasible,0.0,decay1000,0.6000000000000001,Other,fedavg_mk,5,0.5803974000000001,0.014952491399094664,0.6701474,0.031106685163160668
adult_beta0.00_decay1000,adult,infeasible,0.0,decay1000,0.6000000000000001,Other,full,5,0.0309206,0.0,0.207304,0.0
adult_beta0.00_decay1000,adult,infeasible,0.0,decay1000,0.6000000000000001,Amer-Indian-Eskimo,fedavot,5,0.1751832,0.0027510697846474265,0.2268958,0.0005323462782813432
adult_beta0.00_decay1000,adult,infeasible,0.0,decay1000,0.6000000000000001,Amer-Indian-Eskimo,fedavg,5,0.1887526,0.0019458923505682394,0.2478676,0.0009044699221090744
adult_beta0.00_decay1000,adult,infeasible,0.0,decay1000,0.6000000000000001,Amer-Indian-Eskimo,fedavg_mk,5,0.6762248,0.038395518006142326,0.6701474,0.031106685163160668
adult_beta0.00_decay1000,adult,infeasible,0.0,decay1000,0.6000000000000001,Amer-Indian-Eskimo,full,5,0.122714,0.0,0.207304,0.0
adult_beta0.25_const,adult,infeasible,0.25,const,0.6000000000000001,Other,fedavot,5,0.04903784,0.0023082892440939896,0.2121212,0.0005223000670112961
adult_beta0.25_const,adult,infeasible,0.25,const,0.6000000000000001,Other,fedavg,5,0.06516132,0.00209343139500677,0.2276884,0.0005538601267468221
adult_beta0.25_const,adult,infeasible,0.25,const,0.6000000000000001,Other,full,5,0.0278196,0.0,0.203774,0.0
adult_beta0.25_const,adult,infeasible,0.25,const,0.6000000000000001,Amer-Indian-Eskimo,fedavot,5,0.15349859999999999,0.004113792780391356,0.2121212,0.0005223000670112961
adult_beta0.25_const,adult,infeasible,0.25,const,0.6000000000000001,Amer-Indian-Eskimo,fedavg,5,0.1764352,0.002467964943024922,0.2276884,0.0005538601267468221
adult_beta0.25_const,adult,infeasible,0.25,const,0.6000000000000001,Amer-Indian-Eskimo,full,5,0.118316,0.0,0.203774,0.0
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Other,fedavot,5,0.0524596,0.001749996437710659,0.2148756,0.0003612703143077223
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Other,fedavg,5,0.0781762,0.0016629259959481076,0.2329956,0.0004582159316304927
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Other,full,5,0.0309206,0.0,0.207304,0.0
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Amer-Indian-Eskimo,fedavot,5,0.1561518,0.002498467882523205,0.2148756,0.0003612703143077223
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Amer-Indian-Eskimo,fedavg,5,0.178357,0.0015509515788702107,0.2329956,0.0004582159316304927
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Amer-Indian-Eskimo,full,5,0.122714,0.0,0.207304,0.0
adult_beta0.50_const,adult,infeasible,0.5,const,0.4,Other,fedavot,5,0.0328245,0.002069006927006288,0.205574,0.0002024816041026914
