dataset,regime,model,baseline,alpha,gamma,worst_group_tail,worst_group_tail_std,baseline_worst_group_tail,margin,margin_pct
adult,feasible,fedavot_cvar,fedavot,0.1,0.4,0.355824,0.00149012,0.385967,0.0301426,7.80964
adult,feasible,fedavot_cvar,fedavot,0.1,0.3,0.355896,0.00162063,0.385967,0.030071,7.79109
adult,feasible,fedavot_cvar,fedavot,0.1,0.2,0.355907,0.00172519,0.385967,0.03006,7.78824
adult,feasible,fedavot_cvar,fedavot,0.1,0.1,0.356072,0.00182035,0.385967,0.0298944,7.74533
adult,feasible,fedavot_cvar,fedavot,0.1,0.5,0.356074,0.00149944,0.385967,0.0298926,7.74487
adult,feasible,fedavot_cvar,fedavot,0.1,0.6,0.35662,0.00149841,0.385967,0.0293468,7.60346
adult,feasible,fedavot_cvar,fedavot,0.2,0.1,0.357664,0.00204321,0.385967,0.0283022,7.33281
adult,feasible,fedavot_cvar,fedavot,0.2,0.2,0.357982,0.00198665,0.385967,0.0279846,7.25052
adult,feasible,fedavot_cvar,fedavot,0.1,0.7,0.357984,0.00143096,0.385967,0.0279826,7.25001
adult,feasible,fedavot_cvar,fedavot,0.2,0.3,0.358515,0.00188586,0.385967,0.0274516,7.11243
adult,feasible,fedavot_cvar,fedavot,0.2,0.4,0.359379,0.00183196,0.385967,0.0265874,6.88852
adult,feasible,fedavot_cvar,fedavot,0.2,0.5,0.360818,0.00185511,0.385967,0.0251486,6.51575
adult,feasible,fedavot_cvar,fedavot,0.1,0.8,0.361409,0.00155104,0.385967,0.0245578,6.36267
adult,feasible,fedavot_cvar,fedavot,0.3,0.1,0.362391,0.00274671,0.385967,0.0235756,6.1082
adult,feasible,fedavot_cvar,fedavot,0.2,0.6,0.362663,0.00171494,0.385967,0.0233038,6.03778
adult,feasible,fedavot_cvar,fedavot,0.3,0.2,0.363458,0.00262595,0.385967,0.0225086,5.83175
adult,feasible,fedavot_cvar,fedavot,0.5,0.1,0.364585,0.00264222,0.385967,0.0213818,5.53981
adult,feasible,fedavot_cvar,fedavot,0.3,0.3,0.36464,0.00261696,0.385967,0.0213266,5.5255
adult,feasible,fedavot_cvar,fedavot,0.4,0.1,0.364732,0.00325915,0.385967,0.021235,5.50177
adult,feasible,fedavot_cvar,fedavot,0.2,0.7,0.365477,0.00179543,0.385967,0.0204894,5.30859
adult,feasible,fedavot_cvar,fedavot,0.4,0.2,0.365541,0.00314564,0.385967,0.0204256,5.29206
adult,feasible,fedavot_cvar,fedavot,0.5,0.2,0.365851,0.00257738,0.385967,0.0201156,5.21175
adult,feasible,fedavot_cvar,fedavot,0.3,0.4,0.366233,0.00254393,0.385967,0.0197336,5.11277
adult,feasible,fedavot_cvar,fedavot,0.4,0.3,0.36661,0.00299997,0.385967,0.0193566,5.0151
adult,feasible,fedavot_cvar,fedavot,0.5,0.3,0.367403,0.00249716,0.385967,0.0185636,4.80964
adult,feasible,fedavot_cvar,fedavot,0.4,0.4,0.367958,0.00288217,0.385967,0.018009,4.66595
adult,feasible,fedavot_cvar,fedavot,0.3,0.5,0.368122,0.00250399,0.385967,0.0178448,4.62341
adult,feasible,fedavot_cvar,fedavot,0.6,0.1,0.368155,0.00223169,0.385967,0.0178116,4.6148
adult,feasible,fedavot_cvar,fedavot,0.5,0.4,0.369229,0.00245237,0.385967,0.0167378,4.33659
adult,feasible,fedavot_cvar,fedavot,0.1,0.9,0.369531,0.00158281,0.385967,0.0164356,4.2583
adult,feasible,fedavot_cvar,fedavot,0.6,0.2,0.369604,0.00223289,0.385967,0.0163626,4.23938
adult,feasible,fedavot_cvar,fedavot,0.4,0.5,0.369642,0.00276566,0.385967,0.016325,4.22964
adult,feasible,fedavot_cvar,fedavot,0.2,0.8,0.369871,0.00192213,0.385967,0.016096,4.17031
adult,feasible,fedavot_cvar,fedavot,0.3,0.6,0.370161,0.00251857,0.385967,0.0158056,4.09507
adult,feasible,fedavot_cvar,fedavot,0.5,0.5,0.371258,0.00241299,0.385967,0.0147082,3.81074
adult,feasible,fedavot_cvar,fedavot,0.6,0.3,0.371305,0.0022583,0.385967,0.0146614,3.79862
adult,feasible,fedavot_cvar,fedavot,0.4,0.6,0.371628,0.00266484,0.385967,0.0143384,3.71493
adult,feasible,fedavot_cvar,fedavot,0.3,0.7,0.372342,0.00245709,0.385967,0.0136242,3.52989
adult,feasible,fedavot_cvar,fedavot,0.6,0.4,0.373136,0.00227507,0.385967,0.0128308,3.32433
adult,feasible,fedavot_cvar,fedavot,0.7,0.1,0.373289,0.00196437,0.385967,0.0126776,3.28464
adult,feasible,fedavot_cvar,fedavot,0.5,0.6,0.37355,0.00238551,0.385967,0.012417,3.21712
adult,feasible,fedavot_cvar,fedavot,0.4,0.7,0.374053,0.00254994,0.385967,0.0119138,3.08674
adult,feasible,fedavot_cvar,fedavot,0.7,0.2,0.374567,0.00198232,0.385967,0.0113996,2.95352
adult,feasible,fedavot_cvar,fedavot,0.6,0.5,0.375053,0.00228054,0.385967,0.0109132,2.8275
adult,feasible,fedavot_cvar,fedavot,0.3,0.8,0.375061,0.00232289,0.385967,0.0109054,2.82548
adult,feasible,fedavot_cvar,fedavot,0.7,0.3,0.375926,0.00203522,0.385967,0.0100402,2.60131
adult,feasible,fedavot_cvar,fedavot,0.5,0.7,0.376096,0.00237214,0.385967,0.0098706,2.55737
adult,feasible,fedavot_cvar,fedavot,0.2,0.9,0.37622,0.00212099,0.385967,0.009747,2.52535
adult,feasible,fedavot_cvar,fedavot,0.6,0.6,0.377043,0.00228765,0.385967,0.0089234,2.31196
adult,feasible,fedavot_cvar,fedavot,0.4,0.8,0.377047,0.00243316,0.385967,0.0089198,2.31103
adult,feasible,fedavot_cvar,fedavot,0.7,0.4,0.377336,0.00208316,0.385967,0.0086308,2.23615
adult,feasible,fedavot_cvar,fedavot,0.7,0.5,0.378758,0.00212515,0.385967,0.0072084,1.86762
adult,feasible,fedavot_cvar,fedavot,0.5,0.8,0.37894,0.00234498,0.385967,0.0070266,1.82052
adult,feasible,fedavot_cvar,fedavot,0.8,0.1,0.378975,0.00186726,0.385967,0.0069914,1.8114
adult,feasible,fedavot_cvar,fedavot,0.6,0.7,0.379093,0.00227781,0.385967,0.0068732,1.78078
adult,feasible,fedavot_cvar,fedavot,0.3,0.9,0.37932,0.00223936,0.385967,0.0066468,1.72212
adult,feasible,fedavot_cvar,fedavot,0.8,0.2,0.3799,0.00189713,0.385967,0.0060668,1.57185
adult,feasible,fedavot_cvar,fedavot,0.7,0.6,0.380174,0.00215535,0.385967,0.0057926,1.5008
adult,feasible,fedavot_cvar,fedavot,0.8,0.3,0.380769,0.00194089,0.385967,0.0051972,1.34654
adult,feasible,fedavot_cvar,fedavot,0.4,0.9,0.380894,0.00232499,0.385967,0.005073,1.31436
adult,feasible,fedavot_cvar,fedavot,0.6,0.8,0.381218,0.00226703,0.385967,0.0047486,1.23031
adult,feasible,fedavot_cvar,fedavot,0.7,0.7,0.381597,0.00217679,0.385967,0.00437,1.13222
adult,feasible,fedavot_cvar,fedavot,0.8,0.4,0.381605,0.00198794,0.385967,0.0043614,1.12999
adult,feasible,fedavot_cvar,fedavot,0.5,0.9,0.382198,0.00228355,0.385967,0.0037686,0.976406
adult,feasible,fedavot_cvar,fedavot,0.8,0.5,0.382409,0.00203461,0.385967,0.0035578,0.92179
adult,feasible,fedavot_cvar,fedavot,0.7,0.8,0.383033,0.00219887,0.385967,0.0029336,0.760066
adult,feasible,fedavot_cvar,fedavot,0.9,0.1,0.383149,0.00209971,0.385967,0.002818,0.730115
adult,feasible,fedavot_cvar,fedavot,0.8,0.6,0.383179,0.00208371,0.385967,0.0027876,0.722239
adult,feasible,fedavot_cvar,fedavot,0.6,0.9,0.383474,0.00224753,0.385967,0.0024922,0.645704
adult,feasible,fedavot_cvar,fedavot,0.9,0.2,0.383487,0.00211349,0.385967,0.00248,0.642543
adult,feasible,fedavot_cvar,fedavot,0.9,0.3,0.383816,0.00212643,0.385967,0.0021504,0.557147
adult,feasible,fedavot_cvar,fedavot,0.8,0.7,0.383918,0.00211998,0.385967,0.0020488,0.530823
adult,feasible,fedavot_cvar,fedavot,0.9,0.4,0.384147,0.00214165,0.385967,0.00182,0.471543
adult,feasible,fedavot_cvar,fedavot,0.9,0.5,0.38447,0.00215506,0.385967,0.001497,0.387857
adult,feasible,fedavot_cvar,fedavot,0.7,0.9,0.384489,0.00221218,0.385967,0.0014778,0.382883
adult,feasible,fedavot_cvar,fedavot,0.8,0.8,0.384632,0.0021543,0.385967,0.0013346,0.345781
adult,feasible,fedavot_cvar,fedavot,0.9,0.6,0.384788,0.00216941,0.385967,0.0011782,0.30526
adult,feasible,fedavot_cvar,fedavot,0.9,0.7,0.3851,0.00218025,0.385967,0.000867,0.224631
adult,feasible,fedavot_cvar,fedavot,0.8,0.9,0.385317,0.0021841,0.385967,0.0006498,0.168357
adult,feasible,fedavot_cvar,fedavot,0.9,0.8,0.385403,0.00219046,0.385967,0.000564,0.146127
adult,feasible,fedavot_cvar,fedavot,0.9,0.9,0.385693,0.00220022,0.385967,0.0002738,0.0709388
adult,feasible,fedcvar,fedavg,0.1,0.4,0.354261,0.00126483,0.380568,0.0263072,6.91261
adult,feasible,fedcvar,fedavg,0.1,0.3,0.354336,0.00151368,0.380568,0.0262324,6.89296
adult,feasible,fedcvar,fedavg,0.1,0.5,0.354419,0.00118074,0.380568,0.0261496,6.8712
adult,feasible,fedcvar,fedavg,0.1,0.6,0.354699,0.00128758,0.380568,0.0258692,6.79752
adult,feasible,fedcvar,fedavg,0.1,0.2,0.3548,0.00158409,0.380568,0.025768,6.77093
adult,feasible,fedcvar,fedavg,0.1,0.1,0.354941,0.0014912,0.380568,0.0256268,6.73383
adult,feasible,fedcvar,fedavg,0.1,0.7,0.355772,0.00141727,0.380568,0.0247964,6.51563
adult,feasible,fedcvar,fedavg,0.2,0.2,0.356133,0.00191428,0.380568,0.024435,6.42066
adult,feasible,fedcvar,fedavg,0.2,0.1,0.35615,0.00183232,0.380568,0.0244184,6.4163
adult,feasible,fedcvar,fedavg,0.2,0.3,0.356333,0.00176613,0.380568,0.0242356,6.36827
adult,feasible,fedcvar,fedavg,0.2,0.4,0.356896,0.00169525,0.380568,0.0236718,6.22012
adult,feasible,fedcvar,fedavg,0.2,0.5,0.35788,0.0016922,0.380568,0.0226878,5.96156
adult,feasible,fedcvar,fedavg,0.1,0.8,0.358452,0.00152053,0.380568,0.0221166,5.81147
adult,feasible,fedcvar,fedavg,0.2,0.6,0.359369,0.00159544,0.380568,0.021199,5.57036
adult,feasible,fedcvar,fedavg,0.3,0.1,0.359867,0.00235009,0.380568,0.0207012,5.43955
adult,feasible,fedcvar,fedavg,0.3,0.2,0.360568,0.00234236,0.380568,0.0200004,5.2554
adult,feasible,fedcvar,fedavg,0.3,0.3,0.361551,0.00231789,0.380568,0.0190172,4.99705
adult,feasible,fedcvar,fedavg,0.2,0.7,0.361802,0.00165364,0.380568,0.0187658,4.931
adult,feasible,fedcvar,fedavg,0.5,0.1,0.361811,0.00272057,0.380568,0.0187572,4.92874
adult,feasible,fedcvar,fedavg,0.5,0.2,0.362726,0.00263233,0.380568,0.0178418,4.6882
adult,feasible,fedcvar,fedavg,0.4,0.1,0.362737,0.00294942,0.380568,0.0178308,4.68531
adult,feasible,fedcvar,fedavg,0.3,0.4,0.362809,0.00233536,0.380568,0.017759,4.66644
adult,feasible,fedcvar,fedavg,0.4,0.2,0.363583,0.00285562,0.380568,0.0169856,4.46322
adult,feasible,fedcvar,fedavg,0.6,0.1,0.363835,0.00223476,0.380568,0.016733,4.39685
adult,feasible,fedcvar,fedavg,0.5,0.3,0.363909,0.00254861,0.380568,0.0166596,4.37756
adult,feasible,fedcvar,fedavg,0.3,0.5,0.36425,0.0023099,0.380568,0.0163178,4.28775
adult,feasible,fedcvar,fedavg,0.4,0.3,0.364446,0.00279233,0.380568,0.0161224,4.2364
adult,feasible,fedcvar,fedavg,0.6,0.2,0.365064,0.00221611,0.380568,0.0155044,4.07401
adult,feasible,fedcvar,fedavg,0.5,0.4,0.36532,0.00252627,0.380568,0.0152482,4.00669
adult,feasible,fedcvar,fedavg,0.4,0.4,0.365525,0.00270863,0.380568,0.0150434,3.95288
adult,feasible,fedcvar,fedavg,0.1,0.9,0.365581,0.00165712,0.380568,0.0149872,3.93811
adult,feasible,fedcvar,fedavg,0.2,0.8,0.365646,0.00174639,0.380568,0.0149218,3.92093
adult,feasible,fedcvar,fedavg,0.3,0.6,0.36611,0.00233767,0.380568,0.0144586,3.79921
adult,feasible,fedcvar,fedavg,0.6,0.3,0.366535,0.00223743,0.380568,0.0140334,3.68749
