round,FedAVOT,"FedAVOT + CVaR (a=0.3, g=0.3)","FedCVaR uniform agg (a=0.3, g=0.3)",FedAvg (uniform over K),FedAvg (full)
0,0.564836,0.48305,0.485308,0.566822,0.559961
10,0.367279,0.332995,0.335172,0.368143,0.365056
20,0.332357,0.321102,0.323366,0.333839,0.328294
30,0.309942,0.307551,0.310289,0.311916,0.308193
40,0.296211,0.299609,0.30215,0.298252,0.29467
50,0.286159,0.293795,0.296668,0.288138,0.284702
60,0.278417,0.289537,0.292542,0.280487,0.276954
70,0.272579,0.283511,0.286524,0.27413,0.270713
80,0.267072,0.28106,0.284214,0.268946,0.265551
90,0.262191,0.27697,0.280446,0.263788,0.261191
100,0.258478,0.27381,0.277193,0.260073,0.257448
110,0.255604,0.270962,0.27438,0.257107,0.25419
120,0.252097,0.268714,0.272666,0.253476,0.251323
130,0.250116,0.263769,0.266629,0.251355,0.248776
140,0.248701,0.264645,0.267511,0.250202,0.246493
150,0.245798,0.261191,0.264606,0.247061,0.244434
160,0.243619,0.25995,0.263127,0.244769,0.242564
170,0.241936,0.257966,0.261046,0.24301,0.240858
180,0.240638,0.260375,0.263824,0.241923,0.239292
190,0.238529,0.256048,0.25947,0.239487,0.237851
200,0.237852,0.257521,0.260854,0.238995,0.236518
210,0.236162,0.251822,0.254774,0.237014,0.235281
220,0.234744,0.251266,0.254373,0.235574,0.23413
230,0.233486,0.249898,0.253267,0.234252,0.233056
240,0.232702,0.247547,0.250522,0.233333,0.232051
250,0.23163,0.247916,0.251113,0.232353,0.231108
260,0.23092,0.248001,0.251355,0.231802,0.230221
270,0.229971,0.244566,0.247571,0.230546,0.229386
280,0.229318,0.244347,0.247436,0.229953,0.228599
290,0.228259,0.242492,0.245555,0.228815,0.227854
300,0.227688,0.243251,0.246281,0.228337,0.227148
310,0.227103,0.242503,0.245269,0.227813,0.226479
320,0.226367,0.241057,0.243615,0.226966,0.225844
330,0.22598,0.241597,0.24441,0.22656,0.22524
340,0.225218,0.24108,0.24382,0.2258,0.224664
350,0.224757,0.241082,0.243874,0.225335,0.224116
360,0.224439,0.240598,0.243563,0.224966,0.223592
370,0.223828,0.239907,0.242715,0.224316,0.223092
380,0.223375,0.238137,0.240647,0.223742,0.222614
390,0.222945,0.239371,0.242284,0.223442,0.222156
400,0.22248,0.238611,0.2414,0.222828,0.221717
410,0.222036,0.236666,0.239291,0.22239,0.221296
420,0.221683,0.236213,0.238673,0.222076,0.220892
430,0.221176,0.235451,0.238013,0.221554,0.220503
440,0.221121,0.236095,0.23856,0.221612,0.22013
450,0.220436,0.235069,0.237925,0.220838,0.219771
460,0.219977,0.233394,0.23587,0.22033,0.219425
470,0.219669,0.232549,0.234846,0.219929,0.219092
480,0.219309,0.232465,0.234912,0.219466,0.218771
490,0.219307,0.232536,0.23485,0.219566,0.218461
500,0.218721,0.233251,0.235696,0.218976,0.218162
510,0.218271,0.231626,0.233919,0.218469,0.217873
520,0.218307,0.231923,0.234449,0.218744,0.217594
530,0.217901,0.232348,0.234755,0.218238,0.217325
540,0.217917,0.232073,0.234265,0.218263,0.217063
550,0.217454,0.231322,0.233651,0.217678,0.216811
560,0.217465,0.230671,0.232868,0.217697,0.216566
570,0.216854,0.231086,0.233477,0.217046,0.216329
580,0.216812,0.231698,0.234268,0.217124,0.216099
590,0.217046,0.232926,0.23498,0.217306,0.215877
600,0.216616,0.230572,0.232828,0.216803,0.21566
610,0.216305,0.228725,0.230915,0.216518,0.215451
620,0.215989,0.228226,0.230521,0.216141,0.215247
630,0.216075,0.230042,0.232427,0.216331,0.215049
640,0.21574,0.230674,0.233224,0.216109,0.214857
650,0.215224,0.229104,0.231633,0.215483,0.21467
660,0.214988,0.227758,0.229858,0.21519,0.214489
670,0.214916,0.2293,0.231696,0.215196,0.214312
680,0.214913,0.22868,0.231007,0.215247,0.21414
690,0.214842,0.228707,0.23104,0.215162,0.213973
700,0.214531,0.227352,0.229288,0.21479,0.21381
710,0.21448,0.227459,0.22951,0.214731,0.213651
720,0.214426,0.228987,0.231063,0.214749,0.213496
730,0.21392,0.227072,0.22925,0.214171,0.213345
740,0.213919,0.227528,0.229738,0.21421,0.213198
750,0.214099,0.228863,0.23125,0.21448,0.213055
760,0.213816,0.228896,0.230872,0.214177,0.212915
770,0.213599,0.228031,0.229888,0.213933,0.212779
780,0.213626,0.22882,0.230675,0.213907,0.212645
790,0.213406,0.227664,0.22967,0.213727,0.212515
800,0.213438,0.226869,0.228723,0.213763,0.212388
810,0.21318,0.22774,0.22979,0.213465,0.212264
820,0.212895,0.22715,0.2289,0.21323,0.212143
830,0.212722,0.226781,0.228687,0.212996,0.212024
