round,FedAVOT,"FedAVOT + CVaR (a=0.3, g=0.3)","FedCVaR uniform agg (a=0.3, g=0.3)",FedAvg (uniform over K),FedAvg (full)
0,0.560135,0.478134,0.479357,0.563567,0.559961
10,0.386911,0.363348,0.366427,0.394038,0.365056
20,0.351199,0.343546,0.355591,0.362124,0.328294
30,0.337904,0.335693,0.347297,0.348796,0.308193
40,0.328857,0.327773,0.337371,0.337077,0.29467
50,0.32512,0.326287,0.33553,0.333465,0.284702
60,0.311434,0.318449,0.330636,0.325154,0.276954
70,0.304694,0.314675,0.326551,0.320094,0.270713
80,0.298639,0.308928,0.319891,0.312961,0.265551
90,0.295776,0.311902,0.318509,0.310031,0.261191
100,0.293466,0.306149,0.317919,0.308997,0.257448
110,0.290746,0.301896,0.313878,0.307282,0.25419
120,0.287166,0.299768,0.313216,0.302826,0.251323
130,0.285334,0.300883,0.315209,0.30393,0.248776
140,0.281633,0.298388,0.310185,0.298148,0.246493
150,0.279028,0.296391,0.306379,0.294644,0.244434
160,0.275406,0.29417,0.307439,0.294101,0.242564
170,0.275828,0.294603,0.307207,0.29416,0.240858
180,0.270599,0.286408,0.3018,0.290597,0.239292
190,0.271701,0.293072,0.306156,0.29076,0.237851
200,0.268278,0.287571,0.297977,0.285943,0.236518
210,0.269136,0.290339,0.302859,0.287327,0.235281
220,0.265123,0.287946,0.299616,0.283383,0.23413
230,0.267611,0.29311,0.302861,0.287116,0.233056
240,0.263343,0.286956,0.300232,0.283326,0.232051
250,0.263804,0.286978,0.297988,0.280793,0.231108
260,0.263515,0.286624,0.300748,0.28377,0.230221
270,0.261138,0.285649,0.297756,0.280215,0.229386
280,0.260448,0.285247,0.298769,0.279626,0.228599
290,0.261953,0.285012,0.295625,0.281678,0.227854
300,0.257322,0.279142,0.29241,0.275354,0.227148
310,0.258378,0.280633,0.291937,0.276371,0.226479
320,0.258443,0.279644,0.294017,0.277622,0.225844
330,0.260314,0.284004,0.295175,0.278119,0.22524
340,0.261318,0.280642,0.297007,0.278898,0.224664
350,0.25579,0.276253,0.291223,0.275828,0.224116
360,0.256821,0.279785,0.293684,0.276744,0.223592
370,0.2532,0.275572,0.291047,0.273948,0.223092
380,0.254398,0.277637,0.292273,0.275036,0.222614
390,0.254841,0.277905,0.290958,0.273757,0.222156
400,0.254051,0.275519,0.289851,0.274443,0.221717
410,0.253201,0.277544,0.291481,0.272766,0.221296
420,0.252774,0.283689,0.290008,0.271483,0.220892
430,0.252291,0.280046,0.295286,0.272686,0.220503
440,0.25149,0.275516,0.290466,0.271199,0.22013
450,0.249654,0.276844,0.292427,0.270646,0.219771
460,0.251494,0.280721,0.294608,0.27288,0.219425
470,0.250338,0.278948,0.291491,0.270797,0.219092
480,0.246206,0.271979,0.286831,0.267064,0.218771
490,0.246621,0.274067,0.290834,0.26807,0.218461
500,0.249129,0.278897,0.289436,0.268527,0.218162
510,0.246377,0.273369,0.288404,0.266591,0.217873
520,0.245526,0.271676,0.288371,0.266561,0.217594
530,0.245057,0.274122,0.289169,0.265522,0.217325
540,0.244481,0.268723,0.286999,0.26503,0.217063
550,0.24411,0.270638,0.287894,0.265614,0.216811
560,0.242265,0.269802,0.286331,0.264316,0.216566
570,0.241203,0.270497,0.285866,0.263555,0.216329
580,0.245434,0.273349,0.288301,0.266786,0.216099
590,0.243793,0.27217,0.287215,0.266375,0.215877
600,0.241363,0.268846,0.283123,0.262913,0.21566
610,0.241532,0.266361,0.283439,0.263366,0.215451
620,0.241435,0.265192,0.282621,0.26279,0.215247
630,0.242204,0.268609,0.28543,0.264135,0.215049
640,0.243129,0.268309,0.28987,0.266206,0.214857
650,0.241307,0.266574,0.284715,0.264012,0.21467
660,0.241132,0.268942,0.29011,0.264002,0.214489
670,0.239925,0.266951,0.288411,0.262606,0.214312
680,0.239447,0.265758,0.284919,0.263256,0.21414
690,0.23844,0.266868,0.285495,0.260989,0.213973
700,0.239729,0.268064,0.286125,0.261975,0.21381
710,0.242217,0.269657,0.287568,0.26352,0.213651
720,0.240259,0.267477,0.287056,0.262864,0.213496
730,0.238763,0.263577,0.282585,0.260905,0.213345
740,0.240096,0.267959,0.288209,0.264694,0.213198
750,0.237756,0.264284,0.282637,0.26095,0.213055
760,0.23752,0.267812,0.287967,0.261579,0.212915
770,0.238047,0.265036,0.286333,0.262138,0.212779
780,0.239479,0.264196,0.284453,0.262624,0.212645
790,0.238452,0.26318,0.283208,0.260869,0.212515
800,0.239991,0.264304,0.28276,0.261178,0.212388
810,0.237822,0.264164,0.283617,0.261269,0.212264
820,0.238333,0.264131,0.281423,0.260396,0.212143
830,0.238418,0.267549,0.286408,0.262035,0.212024
840,0.240086,0.26485,0.285358,0.262683,0.211908
850,0.236644,0.263843,0.285927,0.259766,0.211795
860,0.235293,0.261753,0.282868,0.259527,0.211684
870,0.23588,0.261472,0.280988,0.258941,0.211576
880,0.238689,0.266932,0.286146,0.26219,0.21147
890,0.235466,0.264692,0.283003,0.259428,0.211366
900,0.235799,0.262948,0.282829,0.259779,0.211264
910,0.234565,0.259023,0.279197,0.257107,0.211165
920,0.23416,0.260902,0.280191,0.257879,0.211067
930,0.235309,0.261942,0.283853,0.258677,0.210972
940,0.233557,0.260269,0.28085,0.257497,0.210878
950,0.234214,0.261178,0.283236,0.258053,0.210786
960,0.234588,0.261081,0.283055,0.258183,0.210696
970,0.23414,0.262874,0.283833,0.257766,0.210608
980,0.233569,0.261272,0.282924,0.25663,0.210522
990,0.233593,0.260356,0.280389,0.256086,0.210437
1000,0.232888,0.262306,0.282116,0.256558,0.210354
1010,0.232847,0.262839,0.282487,0.256354,0.210272
1020,0.234367,0.264563,0.283786,0.25735,0.210192
1030,0.233099,0.25713,0.278979,0.256326,0.210113
1040,0.232365,0.257148,0.277314,0.255256,0.210036
1050,0.233537,0.258952,0.279078,0.256391,0.20996
1060,0.232396,0.260825,0.281645,0.255687,0.209886
1070,0.233871,0.262062,0.281558,0.257195,0.209813
1080,0.232207,0.26118,0.282821,0.256205,0.209741
1090,0.231713,0.259888,0.279296,0.255315,0.20967
1100,0.232985,0.26033,0.282159,0.255618,0.209601
1110,0.23146,0.25752,0.276084,0.253852,0.209533
1120,0.232371,0.260902,0.283942,0.255951,0.209466
1130,0.232057,0.258284,0.279825,0.254903,0.2094
1140,0.232515,0.258868,0.279406,0.254651,0.209335
1150,0.232675,0.257013,0.278185,0.25401,0.209272
1160,0.234377,0.259558,0.280403,0.25594,0.209209
1170,0.231979,0.256908,0.27817,0.254156,0.209147
1180,0.233277,0.258428,0.277911,0.254559,0.209087
1190,0.232574,0.260958,0.280544,0.254951,0.209027
1200,0.232743,0.258136,0.281132,0.255433,0.208968
1210,0.233093,0.258972,0.280883,0.255094,0.20891
1220,0.232273,0.257902,0.279536,0.25344,0.208853
1230,0.231652,0.256766,0.281767,0.254478,0.208797
1240,0.230419,0.256099,0.279418,0.252739,0.208742
1250,0.230599,0.258237,0.278193,0.252233,0.208688
1260,0.231741,0.259491,0.281529,0.254211,0.208634
1270,0.230945,0.255562,0.278094,0.252564,0.208582
1280,0.231853,0.256245,0.278191,0.254362,0.20853
1290,0.231609,0.256825,0.277639,0.253647,0.208478
1300,0.231824,0.258931,0.280144,0.254254,0.208428
1310,0.230907,0.25521,0.275856,0.251601,0.208378
1320,0.232077,0.255555,0.277832,0.253285,0.208329
1330,0.231202,0.255642,0.279977,0.253704,0.208281
1340,0.22943,0.252642,0.275547,0.252746,0.208233
1350,0.230441,0.256873,0.278886,0.252867,0.208186
1360,0.230847,0.255943,0.278606,0.253303,0.20814
1370,0.229876,0.254779,0.278665,0.25225,0.208094
1380,0.229251,0.253784,0.276328,0.251461,0.208049
1390,0.229529,0.254779,0.275625,0.251566,0.208005
1400,0.229737,0.25454,0.275505,0.251288,0.207961
1410,0.229552,0.254247,0.276708,0.252208,0.207917
1420,0.229799,0.254851,0.279095,0.251916,0.207875
1430,0.22842,0.252794,0.276386,0.250827,0.207833
1440,0.230759,0.255541,0.278679,0.252703,0.207791
1450,0.228116,0.251251,0.274847,0.250103,0.20775
1460,0.22828,0.251746,0.27345,0.249436,0.207709
1470,0.228814,0.251988,0.274861,0.249501,0.207669
1480,0.229787,0.254383,0.275672,0.250697,0.20763
1490,0.229996,0.254248,0.277391,0.251842,0.207591
1500,0.229576,0.25271,0.277459,0.251477,0.207552
1510,0.22924,0.251406,0.273015,0.25009,0.207514
1520,0.228718,0.252158,0.277508,0.252105,0.207476
1530,0.231823,0.255788,0.278477,0.25365,0.207439
1540,0.230806,0.253958,0.278761,0.252664,0.207402
1550,0.22977,0.252169,0.276556,0.250505,0.207366
1560,0.229827,0.251761,0.275446,0.250056,0.20733
1570,0.229997,0.251525,0.273583,0.250078,0.207295
1580,0.229444,0.252899,0.277669,0.251693,0.20726
1590,0.229851,0.252684,0.275434,0.250987,0.207225
1600,0.229334,0.251131,0.274744,0.250898,0.207191
1610,0.228274,0.251491,0.276072,0.250655,0.207157
1620,0.228632,0.251216,0.27637,0.249779,0.207124
1630,0.227367,0.249102,0.272895,0.248618,0.207091
1640,0.229016,0.252175,0.276846,0.251107,0.207058
1650,0.227342,0.250655,0.272803,0.248208,0.207026
1660,0.227105,0.250134,0.271902,0.247079,0.206994
1670,0.226789,0.249231,0.273418,0.248725,0.206962
1680,0.226252,0.249118,0.270626,0.246845,0.206931
1690,0.225339,0.247657,0.269716,0.246216,0.2069
1700,0.226198,0.249987,0.272219,0.246183,0.206869
1710,0.226644,0.249031,0.270794,0.246888,0.206839
1720,0.227001,0.250081,0.271403,0.247823,0.206809
1730,0.227217,0.249609,0.271486,0.247075,0.206779
1740,0.227486,0.249349,0.272558,0.247424,0.20675
1750,0.22684,0.251031,0.273962,0.247364,0.206721
1760,0.227356,0.248309,0.270562,0.247448,0.206692
1770,0.227731,0.248455,0.270262,0.247507,0.206664
1780,0.227672,0.249801,0.273303,0.247193,0.206636
1790,0.227482,0.249185,0.271365,0.247077,0.206608
1800,0.226975,0.247418,0.269888,0.246328,0.20658
1810,0.22806,0.24882,0.271223,0.248174,0.206553
1820,0.227845,0.249732,0.271931,0.247687,0.206526
1830,0.226918,0.248681,0.271104,0.246937,0.206499
1840,0.227514,0.250432,0.271713,0.248042,0.206472
1850,0.227384,0.251268,0.273318,0.247103,0.206446
1860,0.227204,0.248494,0.269383,0.246012,0.20642
1870,0.228751,0.252139,0.272378,0.2486,0.206394
1880,0.227209,0.251912,0.273798,0.247831,0.206369
1890,0.226266,0.249672,0.272458,0.24732,0.206344
1900,0.22663,0.248744,0.27187,0.247149,0.206319
1910,0.227323,0.251448,0.274064,0.247398,0.206294
1920,0.225834,0.247536,0.272295,0.246044,0.206269
1930,0.226088,0.24835,0.271509,0.246324,0.206245
1940,0.227337,0.250768,0.271688,0.246879,0.206221
1950,0.227999,0.250648,0.272031,0.246773,0.206197
1960,0.226663,0.248292,0.269889,0.246153,0.206173
1970,0.226233,0.247417,0.26871,0.245309,0.20615
1980,0.226665,0.247633,0.27137,0.246914,0.206126
1990,0.227085,0.249468,0.272359,0.245903,0.206103
2000,0.230052,0.252892,0.273507,0.24824,0.206081
2010,0.228001,0.250169,0.270298,0.246205,0.206058
2020,0.228004,0.251875,0.272198,0.246626,0.206035
2030,0.227303,0.248584,0.271835,0.246521,0.206013
2040,0.226599,0.247733,0.270154,0.24618,0.205991
2050,0.226298,0.249525,0.27359,0.247,0.205969
2060,0.226032,0.249236,0.27059,0.245776,0.205948
2070,0.226442,0.249206,0.272602,0.246988,0.205926
2080,0.226233,0.247255,0.269522,0.245178,0.205905
2090,0.225766,0.248042,0.268206,0.244368,0.205884
2100,0.227029,0.249946,0.272509,0.246251,0.205863
2110,0.227055,0.247231,0.268107,0.245178,0.205842
2120,0.228862,0.249957,0.271104,0.247515,0.205821
2130,0.226808,0.24991,0.270857,0.245643,0.205801
2140,0.227279,0.24887,0.27183,0.245845,0.205781
2150,0.229275,0.248821,0.274177,0.248372,0.20576
2160,0.229557,0.249734,0.274383,0.248406,0.20574
2170,0.226643,0.245912,0.267935,0.24544,0.205721
2180,0.228162,0.249916,0.270892,0.246603,0.205701
2190,0.227599,0.248948,0.271212,0.245852,0.205681
2200,0.22663,0.247431,0.268508,0.245317,0.205662
2210,0.22729,0.247236,0.268404,0.245774,0.205643
2220,0.226626,0.24622,0.2698,0.245642,0.205624
2230,0.22709,0.247641,0.270653,0.246601,0.205605
2240,0.225869,0.247216,0.269167,0.245272,0.205586
2250,0.225219,0.246366,0.269432,0.244501,0.205568
2260,0.224642,0.245207,0.268177,0.244609,0.205549
2270,0.224831,0.245891,0.266685,0.24458,0.205531
2280,0.224145,0.243551,0.266182,0.244194,0.205513
2290,0.225713,0.247032,0.271507,0.245267,0.205495
2300,0.226076,0.246646,0.269593,0.245596,0.205477
2310,0.224852,0.245356,0.268685,0.244343,0.205459
2320,0.225156,0.244938,0.26663,0.244716,0.205441
2330,0.225363,0.246627,0.268491,0.24447,0.205424
2340,0.223474,0.2454,0.265611,0.242298,0.205407
2350,0.223903,0.244999,0.267272,0.243148,0.205389
2360,0.224333,0.248223,0.269849,0.243561,0.205372
2370,0.224192,0.246843,0.267399,0.242988,0.205355
2380,0.225279,0.246831,0.267371,0.244375,0.205338
2390,0.224609,0.245562,0.266766,0.243292,0.205322
2400,0.225336,0.247313,0.266833,0.24314,0.205305
2410,0.225543,0.24814,0.267172,0.243067,0.205288
2420,0.224596,0.247312,0.268286,0.243535,0.205272
2430,0.22484,0.246927,0.267335,0.242532,0.205256
2440,0.22486,0.24629,0.267477,0.242256,0.20524
2450,0.224592,0.24472,0.265739,0.242295,0.205224
2460,0.223695,0.243597,0.26635,0.241865,0.205208
2470,0.224555,0.244891,0.267494,0.242854,0.205192
2480,0.225378,0.245815,0.266416,0.242112,0.205176
2490,0.22592,0.245112,0.265625,0.24326,0.20516
2500,0.227165,0.245168,0.265932,0.244479,0.205145
2510,0.226973,0.245035,0.264587,0.243351,0.20513
2520,0.226948,0.24624,0.266264,0.24364,0.205114
2530,0.227493,0.247421,0.266488,0.244641,0.205099
2540,0.226111,0.245941,0.264573,0.242559,0.205084
2550,0.226598,0.24675,0.267546,0.244318,0.205069
2560,0.226247,0.245622,0.266417,0.242641,0.205054
2570,0.226856,0.246829,0.269458,0.244199,0.205039
2580,0.226448,0.246335,0.266565,0.243208,0.205024
2590,0.225875,0.245016,0.26612,0.243265,0.20501
2600,0.225825,0.24667,0.269388,0.243814,0.204995
2610,0.226374,0.24713,0.266186,0.243675,0.204981
2620,0.226029,0.24593,0.265855,0.243468,0.204966
2630,0.225536,0.245771,0.266088,0.243303,0.204952
2640,0.225833,0.245745,0.26659,0.24376,0.204938
2650,0.225731,0.245192,0.267706,0.243635,0.204924
2660,0.224599,0.242613,0.264552,0.242858,0.20491
2670,0.224776,0.243215,0.26291,0.242746,0.204896
2680,0.224321,0.244494,0.266479,0.244116,0.204882
2690,0.225365,0.243284,0.2645,0.243963,0.204869
2700,0.224593,0.244397,0.266541,0.243106,0.204855
2710,0.225251,0.244393,0.265094,0.243144,0.204842
2720,0.224491,0.243057,0.26479,0.242002,0.204828
2730,0.225855,0.243872,0.264822,0.2431,0.204815
2740,0.226367,0.244287,0.263787,0.242447,0.204801
2750,0.227216,0.244601,0.264917,0.243656,0.204788
2760,0.22629,0.244634,0.268785,0.244927,0.204775
2770,0.227042,0.246771,0.267879,0.243941,0.204762
2780,0.228127,0.244567,0.266026,0.24432,0.204749
2790,0.226716,0.244015,0.262912,0.241916,0.204736
2800,0.226751,0.244866,0.264717,0.242793,0.204723
2810,0.227532,0.247394,0.268759,0.243989,0.20471
2820,0.226668,0.244609,0.265719,0.243024,0.204698
2830,0.226092,0.245739,0.265495,0.242328,0.204685
2840,0.226099,0.245535,0.264003,0.241814,0.204673
2850,0.225642,0.246673,0.265641,0.242053,0.20466
2860,0.22459,0.242471,0.26331,0.241789,0.204648
2870,0.224183,0.243048,0.264101,0.241812,0.204636
2880,0.224056,0.242757,0.262799,0.240621,0.204623
2890,0.223926,0.242749,0.264456,0.240954,0.204611
