round,FedAVOT,"FedAVOT + CVaR (a=0.3, g=0.3)","FedCVaR uniform agg (a=0.3, g=0.3)",FedAvg (uniform over K),FedAvg (full)
0,125.483,123.673,123.825,125.996,125.598
10,105.241,102.764,100.543,105.669,100.637
20,96.7662,98.6459,95.0566,96.2786,90.8276
30,92.7794,97.0997,95.3631,93.4684,86.7003
40,90.0036,93.8885,94.1491,91.7627,84.8525
50,89.4828,94.2594,95.0403,91.2526,83.9798
60,89.0713,95.1404,93.2956,90.2571,83.5487
70,90.6837,98.8752,95.3807,90.7687,83.3277
80,88.8901,95.7983,93.6025,89.461,83.2109
90,88.8277,95.9598,93.3647,89.2856,83.1478
100,88.4586,94.9404,92.8671,89.0972,83.1129
110,89.2479,95.6252,94.8229,90.1825,83.0934
120,89.1562,94.0844,93.1229,89.9235,83.0823
130,89.9106,98.6575,93.5165,88.6314,83.076
140,90.1877,97.7977,93.4155,89.1165,83.0725
150,88.5731,95.5376,92.4998,88.6265,83.0705
160,90.0272,98.0705,93.7476,89.0004,83.0694
170,89.3695,95.3803,93.104,89.1754,83.0688
180,89.2349,95.38,92.7433,88.9089,83.0685
190,88.7604,97.5593,93.2387,88.6573,83.0683
200,88.7778,96.7138,93.8794,89.0944,83.0683
210,87.8905,93.677,93.4523,88.8862,83.0683
220,88.9517,98.352,94.1837,88.9479,83.0683
230,88.9799,96.4007,96.0842,90.301,83.0684
240,88.6212,94.3089,92.5889,89.2642,83.0684
250,88.2467,94.3106,93.3517,88.8343,83.0684
260,88.306,94.2592,93.5521,89.2631,83.0685
270,88.6071,94.3994,93.3664,88.8615,83.0685
280,89.0305,94.7949,94.6473,89.9083,83.0685
290,89.946,94.6913,95.4381,91.0147,83.0686
300,87.9914,94.4425,92.0015,89.2487,83.0686
310,88.0574,92.7531,92.8739,89.2498,83.0686
320,88.9967,96.0964,94.1822,89.3769,83.0686
330,88.5108,96.805,95.228,89.2095,83.0686
340,88.597,96.165,95.067,89.6847,83.0686
350,88.7696,96.1031,96.4426,89.7727,83.0686
360,87.8227,92.477,93.0968,89.4166,83.0686
