round,FedAVOT,"FedAVOT + CVaR (a=0.3, g=0.3)","FedCVaR uniform agg (a=0.3, g=0.3)",FedAvg (uniform over K),FedAvg (full)
0,129.651,130.729,126.162,127.417,125.598
10,121.417,130.638,113.596,114.473,100.637
20,115.2,128.555,110.161,107.801,90.8276
30,115.441,133.747,109.699,105.384,86.7003
40,116.448,131.315,111.981,106.694,84.8525
50,116.167,131.864,115.045,108.257,83.9798
60,114.672,130.553,112.372,107.287,83.5487
70,114.684,129.504,114.882,108.755,83.3277
80,114.904,130.875,112.334,107.805,83.2109
90,114.548,130.335,113.395,107.914,83.1478
100,113.174,123.525,113.866,108.2,83.1129
110,112.292,121.539,113.074,108.165,83.0934
120,116.633,129.159,114.161,109.178,83.0823
130,114.932,127.938,115.333,109.273,83.076
140,116.796,130.009,114.113,109.032,83.0725
150,116.44,128.733,114.255,109.027,83.0705
160,116.955,132.332,113.144,108.697,83.0694
170,115.857,126.347,115.151,109.833,83.0688
180,113.964,124.187,113.14,108.849,83.0685
190,118.469,132.08,113.979,109.121,83.0683
200,116.505,129.9,112.892,108.486,83.0683
210,116.001,127.076,111.341,107.991,83.0683
220,115.174,126.629,111.448,107.238,83.0683
230,115.372,127.086,113.467,107.858,83.0684
240,118.424,131.224,116.079,110.017,83.0684
250,115.292,124.565,113.4,108.308,83.0684
260,114.892,123.725,113.238,108.58,83.0685
270,114.394,123.323,112.15,108.165,83.0685
280,115.122,125.842,115.442,109.443,83.0685
290,113.467,120.224,112.271,108.303,83.0686
300,110.803,117.909,111.634,107.903,83.0686
310,113.628,124.453,112.825,107.939,83.0686
320,109.946,116.69,112.391,107.591,83.0686
330,113.378,123.01,114.038,108.616,83.0686
340,116.635,127.162,115.264,109.485,83.0686
350,117.19,127.666,117.351,111.211,83.0686
360,116.71,129.35,116.451,110.668,83.0686
370,116.249,125.205,114.602,109.587,83.0686
380,116.273,123.793,114.124,109.112,83.0686
390,117.828,125.666,112.957,107.906,83.0686
400,115.801,124.528,114.641,108.734,83.0686
410,113.657,123.804,113.307,108.075,83.0686
420,117.482,128.972,113.824,108.512,83.0686
430,114.572,121.317,112.715,108.082,83.0686
440,118.037,125.197,113.223,108.89,83.0687
450,117.146,125.351,113.625,109.02,83.0687
460,115.256,122.057,112.309,108.371,83.0687
470,117.689,127.821,114.808,108.952,83.0687
480,117.904,129.457,115.922,109.384,83.0687
490,120.089,128.424,115.442,109.482,83.0687
500,120.145,129.029,115.196,109.527,83.0687
510,117.888,125.78,114.295,109.176,83.0687
520,117.589,125.63,114.039,108.377,83.0687
530,116.462,127.3,113.689,107.557,83.0687
540,115.428,125.031,113.817,108.272,83.0687
550,112.966,117.944,111.283,107.838,83.0687
560,115.45,124.779,112.373,107.686,83.0687
570,116.751,128.45,115.641,109.602,83.0687
580,116.814,125.021,114.332,109.153,83.0687
590,114.044,121.021,113.512,108.624,83.0687
600,115.471,123.116,114.695,109.251,83.0687
610,118.038,126.357,115.041,109.519,83.0687
620,115.711,124.19,115.132,109.287,83.0687
630,115.402,121.598,115.495,109.566,83.0687
640,114.791,126.214,113.744,108.638,83.0687
650,113.869,122.492,113.186,108.919,83.0687
660,112.589,118.034,110.937,107.718,83.0687
670,112.584,115.822,110.63,107.443,83.0687
680,115.714,120.727,113.56,108.469,83.0687
690,115.164,119.075,114.23,109.016,83.0687
700,114.812,124.728,114.168,108.268,83.0687
710,113.556,122.101,114.609,108.507,83.0687
720,115.059,122.533,113.861,108.169,83.0687
730,117.138,124.27,114.44,108.632,83.0687
740,117.125,124.324,116.58,109.419,83.0687
750,115.4,124.574,115.9,109.897,83.0687
760,113.829,120.204,115.286,109.626,83.0687
770,114.672,117.923,114.606,109.313,83.0687
780,114.276,116.76,113.141,108.341,83.0687
790,113.558,117.846,112.55,107.878,83.0687
800,115.717,122.301,113.894,108.642,83.0687
810,116.542,126.909,114.664,108.659,83.0687
820,116.678,125.744,115.082,109.413,83.0687
830,114.709,121.011,114.175,108.688,83.0687
